Frequency,key size,data self life,migration,vendor supply time,Algo,App_type,Application,Data Sensisitivity,arch flexibility,data trans(algo),is third party quantum safe,third party used,vendor pqc compliant
908722,256,8,3,9,DES,MIX,C,MEDIUM,YES,RSA,,YES,NO
108602,2048,8,1,6,RSA,web,D,MEDIUM,YES,RSA,,NO,NO
123463,1459,8,2,3,RSA,web,D,LOW,YES,RSA,,NO,NO
6176,0,9,2,6,DES,MIX,B,MEDIUM,,RSA,,YES,NO
966762,144,9,1,1,AES,MIX,B,HIGH,YES,RSA,,NO,NO
123457,0,9,2,1,ECDHE,web,A,HIGH,,RSA,,NO,YES
858,1024,9,2,6,ECDHE,web,B,LOW,,RSA,NO,YES,NO
123457,106,10,2,12,ECDHE,MIX,C,MEDIUM,YES,RSA,NO,YES,
98605,0,10,2,9,ECDHE,MIX,C,HIGH,YES,RSA,YES,YES,NO
109927,0,9,2,12,ECDHE,STANDALONE,B,LOW,YES,RSA,,YES,
88091,158,8,2,6,ECDHE,web,D,HIGH,YES,RSA,,YES,NO
8454,0,8,2,6,ECDHE,MIX,B,LOW,NO,RSA,,YES,NO
901123,2048,9,1,2,RSA,web,A,HIGH,YES,RSA,,NO,NO
788,2725,10,1,6,RSA,web,A,HIGH,YES,RSA,,NO,YES
25019,0,9,2,6,ECDHE,web,B,LOW,YES,RSA,YES,NO,NO
4070517,2048,7,2,6,RSA,STANDALONE,A,HIGH,YES,RSA,,NO,
99829,1024,10,2,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,NO,YES,
9975657,981,8,3,10,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
80788,2048,8,2,9,RSA,web,C,LOW,YES,RSA,YES,NO,
99115,941,7,3,8,ECDHE,STANDALONE,D,HIGH,YES,RSA,YES,YES,
99713,0,8,1,12,ECDHE,MIX,B,LOW,YES,RSA,,NO,YES
1832,256,10,2,12,RSA,STANDALONE,B,HIGH,YES,RSA,NO,YES,YES
108750,1725,8,3,12,RSA,STANDALONE,C,LOW,NO,RSA,YES,YES,
99676,0,10,3,9,ECDHE,web,C,LOW,YES,RSA,NO,YES,
123467,0,10,2,9,ECDHE,MIX,A,MEDIUM,YES,RSA,,YES,YES
123457,256,8,2,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,,YES,NO
2181,1024,8,2,1,RSA,web,D,HIGH,NO,RSA,,YES,NO
99826,0,10,2,12,ECDHE,web,C,LOW,YES,RSA,NO,NO,NO
345,0,9,2,11,ECDHE,STANDALONE,B,LOW,NO,RSA,NO,YES,
3299,2048,8,2,8,RSA,web,D,HIGH,YES,RSA,,YES,NO
851,16,9,2,11,ECDHE,MIX,B,LOW,NO,RSA,NO,YES,NO
6526735,154,8,2,9,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,YES,NO,
458738,0,8,2,6,ECDHE,web,D,LOW,YES,RSA,NO,NO,NO
87727,0,8,3,10,ECDHE,MIX,B,MEDIUM,NO,RSA,NO,YES,NO
123470,2048,10,1,9,RSA,web,B,HIGH,YES,RSA,YES,NO,YES
123458,1142,9,2,1,RSA,web,A,HIGH,,RSA,,NO,NO
9948557,2543,7,2,6,RSA,web,D,HIGH,,RSA,,NO,NO
58022,256,9,2,9,RSA,MIX,A,HIGH,YES,RSA,YES,YES,YES
7337286,2048,10,2,9,RSA,web,A,HIGH,YES,RSA,,NO,YES
119737,1188,10,2,9,RSA,web,C,LOW,YES,RSA,,YES,NO
42353,0,10,2,9,ECDHE,MIX,B,LOW,NO,RSA,YES,YES,NO
950455,2048,9,1,6,AES,web,B,HIGH,YES,RSA,,NO,YES
108001,0,9,2,12,ECDHE,MIX,C,MEDIUM,YES,RSA,NO,YES,
9667,0,9,2,9,ECDHE,web,B,LOW,YES,RSA,,NO,NO
99912,88,10,1,1,AES,web,A,HIGH,YES,RSA,,NO,YES
1139,1024,8,2,12,RSA,MIX,B,LOW,NO,RSA,NO,YES,NO
1031487,256,7,3,7,ECDHE,web,C,HIGH,,RSA,,YES,
1942,1591,8,1,2,AES,web,A,HIGH,,RSA,,NO,NO
948592,0,10,2,12,ECDHE,STANDALONE,B,MEDIUM,YES,RSA,NO,YES,
105497,0,10,2,6,ECDHE,web,B,MEDIUM,NO,RSA,,NO,YES
9232,0,8,3,12,ECDHE,MIX,C,LOW,NO,RSA,NO,YES,YES
98812,256,10,2,6,RSA,web,A,MEDIUM,YES,RSA,,NO,YES
8443644,0,9,2,9,ECDHE,STANDALONE,D,MEDIUM,,RSA,NO,NO,NO
954063,2226,8,2,8,RSA,MIX,A,HIGH,YES,RSA,,NO,
22242,2048,9,1,1,RSA,web,A,HIGH,YES,RSA,,NO,YES
123465,1024,8,2,9,RSA,web,A,HIGH,NO,RSA,,YES,YES
672,1024,8,1,6,DES,web,A,HIGH,NO,RSA,,NO,NO
93712,256,9,1,7,ECDHE,web,B,HIGH,,RSA,,NO,NO
756977,657,9,1,1,RSA,web,D,LOW,YES,RSA,,NO,YES
216607,0,10,2,12,ECDHE,MIX,C,MEDIUM,YES,RSA,,YES,YES
24164,0,9,2,6,ECDHE,STANDALONE,D,HIGH,NO,RSA,,NO,
707498,2048,10,1,12,RSA,web,B,HIGH,YES,RSA,,YES,YES
3156,256,9,1,1,AES,web,B,HIGH,,RSA,NO,NO,YES
5916,2048,9,2,12,RSA,MIX,D,HIGH,YES,RSA,,NO,NO
105888,0,8,3,12,ECDHE,STANDALONE,B,LOW,YES,RSA,YES,YES,NO
111982,1687,9,1,6,ECDHE,web,A,HIGH,YES,RSA,,NO,YES
64200,90,9,3,6,RSA,web,B,LOW,YES,RSA,,YES,NO
101049,4096,9,1,9,RSA,web,B,HIGH,YES,RSA,,NO,YES
9946490,118,8,2,11,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
98976,0,7,2,6,AES,MIX,D,MEDIUM,NO,RSA,NO,YES,NO
3004,0,9,2,6,DES,web,D,LOW,NO,RSA,,YES,NO
622101,1571,8,2,9,AES,web,D,HIGH,,RSA,YES,NO,NO
973742,0,9,3,9,ECDHE,MIX,C,MEDIUM,YES,RSA,YES,YES,
99288,0,9,2,6,AES,web,B,HIGH,YES,RSA,NO,YES,NO
89332,0,8,1,10,AES,web,D,HIGH,,RSA,NO,NO,NO
17491,1024,8,3,9,RSA,web,B,LOW,NO,RSA,NO,YES,
7281,256,9,2,3,RSA,web,B,HIGH,NO,RSA,YES,YES,NO
9487379,1151,8,2,12,RSA,STANDALONE,C,LOW,YES,RSA,YES,YES,
9247094,0,7,3,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
2187,0,9,2,1,AES,MIX,A,HIGH,NO,RSA,,YES,NO
242,0,9,2,9,ECDHE,MIX,B,LOW,YES,RSA,NO,NO,NO
123473,0,8,2,9,RSA,MIX,C,MEDIUM,YES,RSA,YES,YES,NO
99364,0,10,1,5,DES,web,A,LOW,NO,RSA,,NO,NO
4518,56,9,3,9,AES,MIX,B,HIGH,NO,RSA,NO,YES,NO
1976613,0,7,3,12,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,YES,YES,
99695,65,10,2,9,RSA,STANDALONE,A,MEDIUM,YES,RSA,,YES,NO
3248,256,8,2,1,RSA,web,D,HIGH,NO,RSA,,NO,NO
454,1024,9,1,2,AES,web,B,HIGH,NO,RSA,,NO,YES
4808,1090,9,1,9,RSA,STANDALONE,A,LOW,YES,RSA,,NO,YES
2395,256,8,2,6,AES,web,B,LOW,,RSA,NO,NO,NO
6378,0,9,1,6,DES,web,B,LOW,NO,RSA,,NO,YES
115964,2048,8,2,8,RSA,web,A,HIGH,,RSA,,YES,
52434,1024,9,2,1,RSA,web,B,HIGH,YES,RSA,,YES,YES
4358,4,7,2,9,AES,web,B,LOW,YES,RSA,YES,YES,NO
918320,395,8,2,9,RSA,web,C,MEDIUM,NO,RSA,,YES,NO
8429,1014,7,1,1,AES,web,D,HIGH,,RSA,,NO,NO
12,226,8,1,1,AES,web,B,HIGH,,RSA,,NO,NO
99418,121,9,2,9,RSA,STANDALONE,B,LOW,YES,RSA,,YES,NO
93252,0,9,2,8,DES,web,B,LOW,YES,RSA,,YES,YES
377,1024,8,2,6,RSA,MIX,D,LOW,NO,RSA,,YES,YES
7485986,0,8,2,12,ECDHE,web,C,MEDIUM,YES,RSA,YES,NO,NO
123462,0,9,3,12,ECDHE,MIX,B,HIGH,YES,RSA,NO,YES,
28782,2048,8,2,6,RSA,MIX,B,MEDIUM,YES,RSA,YES,NO,NO
119307,1024,7,1,9,AES,web,D,HIGH,,RSA,,YES,NO
956351,0,9,2,11,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
3329,4007,10,1,6,RSA,web,B,HIGH,NO,RSA,,NO,YES
110419,3113,9,1,6,RSA,web,A,HIGH,YES,RSA,,NO,NO
2169,0,7,2,9,DES,MIX,B,LOW,NO,RSA,,YES,NO
3865,46,10,2,6,RSA,web,B,HIGH,YES,RSA,,NO,NO
88406,1500,7,3,9,ECDHE,STANDALONE,C,LOW,,RSA,NO,YES,NO
123472,0,9,2,12,DES,STANDALONE,B,MEDIUM,YES,RSA,YES,YES,NO
9993372,0,8,2,9,ECDHE,web,A,HIGH,YES,RSA,,YES,NO
99512,225,7,3,8,ECDHE,web,B,MEDIUM,,RSA,YES,YES,NO
3170,2399,9,1,1,RSA,web,A,HIGH,YES,RSA,,NO,YES
891891,0,9,3,12,ECDHE,STANDALONE,B,LOW,NO,RSA,YES,YES,
98980,1024,8,2,6,RSA,web,A,HIGH,NO,RSA,,NO,YES
3651,1024,10,2,12,RSA,MIX,B,MEDIUM,YES,RSA,NO,YES,NO
3387,2048,9,1,6,RSA,web,A,HIGH,YES,RSA,,NO,YES
3689631,0,8,2,6,RSA,MIX,B,LOW,,RSA,,NO,NO
2574,0,9,1,6,ECDHE,web,B,LOW,NO,RSA,,YES,NO
53622,77,8,3,6,RSA,web,D,MEDIUM,NO,RSA,NO,YES,NO
117303,3337,7,2,9,RSA,web,C,HIGH,,RSA,,NO,NO
245163,2048,7,3,8,RSA,web,D,MEDIUM,NO,RSA,YES,NO,NO
66,3140,10,1,9,RSA,MIX,A,HIGH,YES,RSA,NO,NO,YES
1289006,256,7,2,6,RSA,web,B,HIGH,NO,RSA,YES,YES,NO
9886484,1730,9,2,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,,YES,NO
4166,652,8,1,12,ECDHE,MIX,B,LOW,YES,RSA,YES,YES,NO
2616,627,9,2,10,RSA,MIX,C,LOW,NO,RSA,,YES,NO
380,140,9,1,1,AES,web,D,HIGH,NO,RSA,,NO,YES
99060,0,9,2,9,AES,MIX,B,MEDIUM,YES,RSA,,NO,
99696,1024,7,2,6,RSA,web,A,HIGH,,RSA,,NO,NO
442248,256,9,2,12,ECDHE,MIX,C,LOW,YES,RSA,YES,YES,
607040,981,7,2,1,AES,web,D,HIGH,,RSA,,YES,NO
114913,2048,10,1,6,RSA,web,A,HIGH,YES,RSA,,NO,YES
119917,256,8,1,1,AES,web,D,HIGH,YES,RSA,,NO,YES
9314,256,9,2,6,RSA,MIX,D,HIGH,YES,RSA,,NO,NO
99272,0,8,1,6,DES,web,B,HIGH,YES,RSA,,NO,YES
99255,51,10,1,6,ECDHE,web,A,HIGH,YES,RSA,,NO,NO
757,0,10,1,6,AES,web,A,LOW,YES,RSA,,NO,YES
113551,2048,7,3,10,RSA,MIX,C,MEDIUM,YES,RSA,YES,YES,NO
2998,0,10,1,6,DES,web,A,HIGH,YES,RSA,,YES,YES
482,209,9,2,5,DES,web,B,HIGH,NO,RSA,NO,NO,NO
123470,902,9,1,6,ECDHE,web,A,HIGH,YES,RSA,,NO,YES
2396,174,9,2,12,ECDHE,MIX,B,LOW,YES,RSA,,YES,NO
458651,2048,10,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
73289,2028,8,2,7,AES,web,D,HIGH,NO,RSA,YES,NO,NO
220994,1735,8,3,9,RSA,web,C,MEDIUM,YES,RSA,NO,NO,
259567,540,8,2,1,RSA,web,D,HIGH,YES,RSA,,NO,NO
99967,200,9,2,7,ECDHE,web,B,LOW,NO,RSA,,YES,NO
114975,327,9,2,9,DES,MIX,B,LOW,YES,RSA,NO,NO,NO
88189,2119,8,1,1,AES,web,D,HIGH,,RSA,,NO,YES
101306,0,9,2,9,ECDHE,STANDALONE,C,LOW,NO,RSA,,YES,NO
1270,1210,9,2,1,RSA,web,B,HIGH,YES,RSA,,NO,NO
123462,1024,10,1,2,AES,web,A,HIGH,YES,RSA,,NO,YES
27043,0,9,1,2,ECDHE,web,A,HIGH,YES,RSA,,NO,NO
4353,1431,8,2,9,ECDHE,MIX,C,MEDIUM,YES,RSA,NO,YES,NO
110461,151,9,2,9,ECDHE,web,A,MEDIUM,NO,RSA,YES,YES,NO
945,0,9,1,1,DES,web,A,HIGH,,RSA,,NO,NO
5675,0,9,3,6,ECDHE,MIX,C,HIGH,NO,RSA,NO,YES,NO
12717,256,9,3,12,ECDHE,MIX,C,MEDIUM,YES,RSA,YES,YES,
9938810,2104,7,3,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
3547,0,9,2,3,RSA,STANDALONE,B,HIGH,NO,RSA,NO,NO,YES
99128,53,8,2,2,ECDHE,web,B,HIGH,,RSA,,NO,NO
65514,0,8,2,5,AES,web,B,LOW,,RSA,NO,NO,
123469,3256,8,2,10,RSA,STANDALONE,C,HIGH,YES,RSA,YES,YES,YES
121163,0,9,3,1,ECDHE,STANDALONE,B,HIGH,NO,RSA,YES,NO,
955756,770,8,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,NO,YES,
3399,256,10,1,9,RSA,MIX,B,LOW,YES,RSA,NO,NO,YES
4038,0,10,2,12,ECDHE,MIX,B,LOW,YES,RSA,YES,YES,
120658,166,9,1,6,AES,web,A,HIGH,YES,RSA,,NO,NO
11975,2048,7,2,1,AES,web,D,HIGH,,RSA,,NO,NO
98776,110,10,2,12,ECDHE,STANDALONE,B,LOW,YES,RSA,NO,YES,
924106,74,9,2,9,DES,web,B,HIGH,NO,RSA,NO,NO,NO
110581,256,10,2,9,RSA,web,A,LOW,YES,RSA,,NO,NO
117529,341,9,2,12,RSA,STANDALONE,B,MEDIUM,YES,RSA,,YES,
17359,2048,9,3,9,RSA,STANDALONE,D,LOW,YES,RSA,,NO,
96330,1004,8,1,6,ECDHE,web,C,HIGH,YES,RSA,,NO,YES
99549,2048,8,2,5,RSA,web,D,HIGH,,RSA,,NO,NO
6137,0,9,1,12,DES,MIX,A,HIGH,NO,RSA,NO,NO,YES
123465,0,10,2,8,ECDHE,MIX,C,HIGH,NO,RSA,YES,YES,NO
9962147,0,10,3,12,ECDHE,STANDALONE,C,LOW,YES,RSA,YES,YES,
5728602,0,9,1,7,RSA,MIX,A,HIGH,YES,RSA,,YES,NO
99732,2048,10,2,3,RSA,web,A,HIGH,YES,RSA,,NO,YES
953793,256,8,1,6,RSA,web,D,HIGH,,RSA,YES,NO,YES
6381136,0,9,3,12,ECDHE,STANDALONE,C,LOW,NO,RSA,YES,YES,
27162,35,8,1,6,AES,web,B,LOW,YES,RSA,,NO,YES
58927,213,8,3,6,AES,MIX,B,HIGH,,RSA,,YES,NO
1397,170,10,1,6,ECDHE,web,A,HIGH,NO,RSA,,NO,YES
99049,2048,9,2,6,RSA,web,A,MEDIUM,YES,RSA,,NO,YES
3716,2048,10,1,1,AES,web,A,HIGH,YES,RSA,,NO,YES
4350,1718,8,1,12,ECDHE,STANDALONE,D,LOW,YES,RSA,YES,NO,NO
100713,970,9,2,9,AES,STANDALONE,A,HIGH,YES,RSA,NO,NO,NO
123464,170,8,3,9,RSA,STANDALONE,D,MEDIUM,YES,RSA,YES,YES,NO
123442,642,8,2,12,DES,STANDALONE,C,LOW,YES,RSA,NO,YES,NO
163579,2048,9,1,1,RSA,web,A,HIGH,YES,RSA,,NO,YES
94146,1024,9,1,6,RSA,web,A,HIGH,YES,RSA,,NO,YES
4066426,0,7,3,10,RSA,STANDALONE,C,LOW,YES,RSA,YES,YES,
123461,256,8,3,8,DES,STANDALONE,C,MEDIUM,YES,RSA,NO,YES,NO
438438,207,10,1,6,ECDHE,web,A,HIGH,YES,RSA,,NO,YES
1412,1524,9,2,6,RSA,MIX,A,HIGH,YES,RSA,,NO,NO
9923043,0,7,3,12,ECDHE,STANDALONE,C,MEDIUM,,RSA,YES,YES,
123474,1024,7,3,7,RSA,MIX,D,LOW,,RSA,YES,YES,NO
92717,779,8,2,11,RSA,STANDALONE,C,LOW,YES,RSA,,YES,
10640,0,9,2,6,ECDHE,MIX,A,LOW,NO,RSA,,YES,NO
4452,1352,8,2,9,RSA,STANDALONE,B,MEDIUM,,RSA,NO,YES,NO
893,200,10,1,9,AES,MIX,A,LOW,YES,RSA,NO,YES,YES
9888311,2048,7,1,1,AES,web,D,HIGH,,RSA,,NO,YES
26346,256,9,1,9,RSA,web,D,LOW,YES,RSA,,NO,YES
7594,256,7,3,12,RSA,STANDALONE,C,HIGH,NO,RSA,,YES,NO
228,0,9,2,7,RSA,web,B,LOW,YES,RSA,NO,YES,
99064,233,9,2,7,ECDHE,STANDALONE,D,HIGH,NO,RSA,NO,NO,NO
9953399,1266,9,2,2,ECDHE,web,D,HIGH,YES,RSA,,NO,NO
877376,861,9,1,6,RSA,web,D,HIGH,YES,RSA,NO,NO,YES
99959,2048,7,2,6,ECDHE,web,B,MEDIUM,NO,RSA,,YES,NO
4568,1024,8,1,6,RSA,web,B,HIGH,YES,RSA,,NO,YES
376548,1024,10,2,9,RSA,MIX,A,HIGH,YES,RSA,,NO,YES
9428,256,8,2,1,RSA,web,D,HIGH,YES,RSA,NO,NO,NO
2081,1024,10,1,9,ECDHE,MIX,A,HIGH,YES,RSA,,NO,YES
62943,157,10,2,12,RSA,web,B,LOW,NO,RSA,,YES,YES
4266,0,8,2,12,ECDHE,MIX,C,MEDIUM,NO,RSA,YES,YES,NO
6392,1799,10,3,9,RSA,web,C,HIGH,YES,RSA,YES,YES,
80548,0,9,1,9,ECDHE,web,B,LOW,YES,RSA,,YES,NO
99319,0,8,2,1,ECDHE,web,A,HIGH,NO,RSA,,NO,NO
123457,0,9,2,11,ECDHE,STANDALONE,D,LOW,YES,RSA,NO,YES,NO
109135,1048,7,2,4,ECDHE,web,D,HIGH,,RSA,,NO,NO
123475,1024,10,1,9,RSA,web,A,HIGH,YES,RSA,NO,NO,YES
123466,2048,9,2,12,RSA,MIX,B,HIGH,YES,RSA,NO,YES,
1428,2048,10,1,12,RSA,MIX,A,HIGH,YES,RSA,NO,YES,YES
589,2066,8,2,6,AES,MIX,A,HIGH,YES,RSA,,NO,NO
9534,697,9,3,9,RSA,STANDALONE,C,LOW,NO,RSA,NO,NO,NO
2375,612,10,1,9,RSA,MIX,B,LOW,NO,RSA,,YES,
554709,1061,7,2,9,RSA,STANDALONE,B,LOW,YES,RSA,YES,NO,YES
895558,0,8,2,6,ECDHE,web,D,HIGH,NO,RSA,YES,NO,NO
661,683,10,1,6,RSA,web,A,HIGH,YES,RSA,,NO,YES
89340,3345,10,2,8,RSA,MIX,A,HIGH,YES,RSA,,YES,YES
2098,0,9,2,6,ECDHE,MIX,B,HIGH,NO,RSA,,YES,NO
1974,0,8,2,12,ECDHE,MIX,B,MEDIUM,YES,RSA,NO,YES,NO
89269,89,9,2,6,AES,web,B,HIGH,YES,RSA,NO,YES,NO
108973,2048,10,3,1,AES,web,A,HIGH,NO,RSA,,NO,NO
912034,338,7,3,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
2842,2048,8,3,12,RSA,MIX,C,LOW,NO,RSA,YES,YES,
602158,1024,8,2,6,RSA,STANDALONE,C,LOW,YES,RSA,,NO,NO
4013,1024,8,2,9,AES,web,A,MEDIUM,YES,RSA,NO,YES,NO
2412,2048,9,1,1,AES,web,A,HIGH,,RSA,,NO,YES
4105,2048,8,2,9,RSA,MIX,A,LOW,YES,RSA,NO,YES,NO
10000000,256,7,3,12,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
2125,2048,9,2,9,RSA,MIX,A,HIGH,NO,RSA,NO,YES,YES
9938453,713,8,3,6,RSA,MIX,C,MEDIUM,,RSA,YES,NO,NO
98791,0,9,2,12,ECDHE,MIX,C,LOW,NO,RSA,NO,YES,
96919,1024,8,2,6,AES,STANDALONE,C,HIGH,YES,RSA,,NO,
123474,0,10,2,1,DES,web,D,HIGH,NO,RSA,NO,NO,YES
38478,0,8,2,9,ECDHE,MIX,B,LOW,NO,RSA,NO,NO,NO
960430,0,8,3,12,ECDHE,STANDALONE,B,MEDIUM,NO,RSA,YES,YES,
1799,256,9,3,9,ECDHE,MIX,D,HIGH,NO,RSA,NO,NO,NO
885176,136,8,2,6,ECDHE,web,A,HIGH,YES,RSA,,NO,NO
9655,1024,10,2,9,RSA,web,A,HIGH,NO,RSA,,NO,NO
259126,0,9,2,6,ECDHE,MIX,B,LOW,NO,RSA,NO,NO,NO
9913857,256,8,2,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
634997,1927,9,3,12,RSA,web,C,LOW,YES,RSA,YES,YES,NO
1156,224,8,2,4,AES,MIX,C,LOW,NO,RSA,,NO,NO
94188,2048,10,2,9,ECDHE,web,A,HIGH,YES,RSA,NO,YES,YES
99761,823,10,2,6,AES,web,A,HIGH,YES,RSA,,NO,NO
2781,247,10,1,6,ECDHE,web,A,HIGH,NO,RSA,NO,YES,NO
9939624,1024,10,2,9,ECDHE,web,C,MEDIUM,YES,RSA,YES,YES,NO
4234,484,9,1,1,AES,web,A,HIGH,,RSA,,NO,NO
1559,2573,8,2,10,RSA,web,B,MEDIUM,YES,RSA,YES,YES,
9972126,84,7,3,9,RSA,STANDALONE,C,MEDIUM,,RSA,YES,YES,
9897,0,8,1,6,ECDHE,web,B,LOW,NO,RSA,NO,NO,NO
7210435,126,7,2,8,ECDHE,STANDALONE,A,HIGH,YES,RSA,YES,NO,
1333,2048,9,1,6,RSA,MIX,A,HIGH,YES,RSA,,NO,YES
1451,0,9,2,12,ECDHE,MIX,B,LOW,YES,RSA,NO,YES,NO
9599392,256,9,2,10,ECDHE,web,C,MEDIUM,YES,RSA,NO,YES,NO
429635,2048,9,1,1,AES,web,D,HIGH,,RSA,,NO,NO
4223,256,10,1,9,ECDHE,web,A,HIGH,YES,RSA,,NO,YES
120936,0,9,3,9,RSA,web,C,LOW,YES,RSA,YES,YES,
115961,117,9,2,9,DES,MIX,D,HIGH,YES,RSA,,NO,NO
98334,0,8,3,9,ECDHE,STANDALONE,B,LOW,NO,RSA,YES,YES,NO
63177,2,7,3,9,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,YES,YES,
4996996,2273,7,3,11,RSA,STANDALONE,D,MEDIUM,YES,RSA,YES,NO,NO
122189,0,9,2,9,ECDHE,web,B,HIGH,YES,RSA,,YES,YES
9925070,0,7,3,6,RSA,STANDALONE,C,MEDIUM,,RSA,YES,YES,NO
99115,1587,9,2,12,RSA,MIX,C,MEDIUM,YES,RSA,YES,YES,
99654,236,8,2,6,AES,STANDALONE,D,HIGH,NO,RSA,NO,NO,NO
8462,0,7,2,10,AES,MIX,B,LOW,YES,RSA,NO,YES,NO
29430,0,10,2,12,ECDHE,STANDALONE,A,MEDIUM,NO,RSA,NO,YES,YES
488288,70,9,2,6,ECDHE,STANDALONE,C,LOW,,RSA,NO,NO,NO
9928578,278,7,1,8,ECDHE,web,D,HIGH,,RSA,,NO,NO
676149,74,9,2,12,ECDHE,STANDALONE,C,HIGH,YES,RSA,YES,YES,NO
126,256,10,2,1,AES,MIX,B,LOW,NO,RSA,,NO,YES
1114,0,9,3,9,ECDHE,MIX,D,LOW,NO,RSA,NO,YES,
964374,256,9,1,9,ECDHE,web,A,LOW,YES,RSA,,YES,NO
123471,0,7,2,1,ECDHE,STANDALONE,C,HIGH,,RSA,YES,NO,NO
641859,256,9,2,10,RSA,STANDALONE,A,MEDIUM,YES,RSA,,YES,
99718,651,9,2,12,RSA,MIX,B,MEDIUM,YES,RSA,YES,YES,
850361,210,7,2,9,ECDHE,STANDALONE,D,LOW,YES,RSA,NO,NO,YES
3247,1499,10,2,12,RSA,web,C,LOW,YES,RSA,YES,YES,YES
942,0,9,2,1,RSA,MIX,A,HIGH,NO,RSA,NO,NO,NO
408,0,8,3,9,ECDHE,STANDALONE,B,LOW,NO,RSA,NO,YES,NO
123458,0,10,1,6,AES,web,A,HIGH,NO,RSA,,NO,YES
33276,1024,8,1,1,AES,web,A,HIGH,,RSA,,NO,YES
113799,1024,10,1,6,RSA,web,D,HIGH,YES,RSA,,NO,YES
1091,0,9,2,1,ECDHE,web,B,LOW,NO,RSA,,NO,YES
99595,32,10,2,6,RSA,MIX,B,LOW,YES,RSA,NO,YES,
5299,1024,8,2,3,RSA,web,B,HIGH,NO,RSA,,NO,NO
110947,256,8,2,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,NO,NO,NO
90140,0,10,1,1,AES,web,A,HIGH,YES,RSA,NO,NO,NO
99404,2048,10,2,9,RSA,web,D,HIGH,YES,RSA,,NO,YES
675,52,9,2,12,AES,MIX,B,LOW,NO,RSA,NO,YES,NO
89686,0,8,2,9,ECDHE,web,B,HIGH,NO,RSA,,YES,NO
257070,0,9,2,6,ECDHE,web,A,HIGH,YES,RSA,NO,NO,
2784,1135,10,1,9,RSA,web,B,MEDIUM,NO,RSA,NO,NO,
462773,256,7,2,9,ECDHE,web,B,LOW,YES,RSA,YES,YES,NO
1425418,1122,7,2,6,AES,web,D,HIGH,,RSA,,NO,NO
99204,3884,8,2,6,RSA,web,C,MEDIUM,YES,RSA,,NO,YES
98935,130,9,1,2,RSA,web,A,HIGH,NO,RSA,,NO,YES
9986558,1256,7,3,9,RSA,STANDALONE,D,MEDIUM,,RSA,,NO,
4194,2048,9,2,12,RSA,STANDALONE,B,LOW,YES,RSA,YES,YES,
99399,0,8,3,12,ECDHE,STANDALONE,B,LOW,NO,RSA,YES,YES,
100960,2048,9,2,9,RSA,STANDALONE,A,HIGH,YES,RSA,NO,YES,YES
960385,1024,8,2,11,RSA,STANDALONE,D,MEDIUM,YES,RSA,NO,NO,NO
715659,0,8,2,6,ECDHE,web,D,HIGH,NO,RSA,,NO,NO
2937,3218,9,2,6,RSA,web,B,MEDIUM,YES,RSA,NO,NO,YES
9331751,1024,9,2,6,DES,web,A,HIGH,YES,RSA,,NO,
92387,1318,9,2,11,ECDHE,MIX,B,HIGH,YES,RSA,,YES,NO
120935,1024,7,2,6,AES,web,D,HIGH,,RSA,,NO,NO
9335,2048,8,2,9,RSA,web,B,HIGH,YES,RSA,,YES,
99386,22,9,2,9,ECDHE,STANDALONE,B,LOW,YES,RSA,NO,YES,NO
99574,2048,8,2,9,RSA,web,C,LOW,NO,RSA,YES,YES,YES
4522,1512,9,2,9,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,YES,YES,
4332,2604,10,1,1,RSA,web,A,HIGH,YES,RSA,,NO,YES
2668,0,8,2,9,ECDHE,STANDALONE,B,LOW,,RSA,NO,YES,NO
7147206,90,8,2,7,ECDHE,web,B,HIGH,YES,RSA,YES,NO,NO
396448,607,7,2,1,AES,web,D,HIGH,,RSA,,NO,NO
106605,141,9,1,6,AES,MIX,A,LOW,YES,RSA,,NO,YES
5873318,0,7,2,1,ECDHE,web,D,HIGH,,RSA,,NO,NO
1157,645,7,2,12,AES,MIX,B,LOW,YES,RSA,NO,NO,
1841,0,10,2,9,ECDHE,MIX,A,LOW,NO,RSA,NO,YES,NO
4347,26,10,2,12,ECDHE,MIX,B,LOW,YES,RSA,NO,NO,YES
1775453,0,8,3,7,AES,MIX,C,MEDIUM,NO,RSA,YES,NO,
