Application,App_type,Algo,Frequency,key size,Data Sensisitivity,arch flexibility,third party used,is third party quantum safe,data trans(algo),data self life,migration,vendor pqc compliant,vendor supply time
B,MIX,AES,2330777,0,HIGH,NO,NO,,RSA,10,3,NO,5
D,STANDALONE,RSA,987055,841,LOW,,YES,,RSA,10,2,,1
B,web,ECDHE,5321378,530,HIGH,YES,YES,,RSA,10,3,NO,1
C,STANDALONE,ECDHE,3392329,0,MEDIUM,,NO,NO,RSA,8,3,,1
B,web,ECDHE,15850785,1661,LOW,YES,YES,,RSA,9,3,,12
B,MIX,RSA,2003355,4096,MEDIUM,,NO,,RSA,9,3,NO,12
D,STANDALONE,ECDHE,15671476,2985,LOW,,NO,,RSA,9,3,,1
B,web,RSA,10286591,1638,LOW,,YES,YES,RSA,7,2,YES,1
A,web,RSA,4537888,0,HIGH,,YES,,RSA,10,3,NO,1
D,web,ECDHE,395632,1690,HIGH,,YES,,RSA,10,1,NO,1
B,web,RSA,12172523,3612,LOW,YES,YES,NO,RSA,8,2,,1
A,web,RSA,2607979,974,HIGH,YES,YES,YES,RSA,10,2,,1
B,STANDALONE,RSA,7262429,3564,LOW,YES,YES,,RSA,9,2,YES,2
B,STANDALONE,RSA,9367172,1059,HIGH,YES,YES,YES,RSA,10,3,,12
B,web,RSA,16393154,1730,MEDIUM,YES,YES,,RSA,10,2,,7
D,MIX,ECDHE,5299734,196,LOW,,YES,,RSA,10,3,,6
D,STANDALONE,RSA,759658,4096,HIGH,,YES,NO,RSA,10,3,,7
B,web,RSA,9814150,414,LOW,NO,YES,,RSA,10,3,YES,12
B,web,AES,11027743,712,LOW,,YES,,RSA,8,2,,2
D,MIX,RSA,11366771,2452,LOW,NO,YES,NO,RSA,7,2,NO,12
B,STANDALONE,DES,16114001,158,LOW,NO,YES,,RSA,10,3,,3
D,MIX,AES,15259881,204,MEDIUM,YES,YES,NO,RSA,10,3,,4
C,MIX,ECDHE,5535150,450,MEDIUM,NO,YES,,RSA,7,3,NO,2
B,MIX,RSA,10897540,3220,LOW,,NO,,RSA,9,3,NO,1
A,MIX,ECDHE,11006616,310,LOW,YES,NO,,RSA,8,2,,5
A,STANDALONE,ECDHE,647639,21,LOW,,YES,YES,RSA,8,3,,12
C,MIX,AES,11742064,608,HIGH,YES,NO,YES,RSA,10,1,YES,1
D,MIX,RSA,14679058,4096,LOW,NO,YES,,RSA,8,3,,2
D,STANDALONE,ECDHE,6760131,0,HIGH,,YES,,RSA,10,2,NO,3
A,MIX,ECDHE,10254908,1582,HIGH,YES,YES,,RSA,10,3,,1
B,STANDALONE,AES,3227963,0,HIGH,NO,YES,,RSA,9,3,NO,1
C,MIX,AES,1269064,1818,HIGH,YES,NO,,RSA,10,3,,1
B,STANDALONE,AES,2390953,1086,LOW,YES,YES,,RSA,9,1,,1
D,web,RSA,12632503,0,LOW,YES,YES,,RSA,10,3,,3
B,web,RSA,16704549,3817,HIGH,NO,NO,NO,RSA,10,3,YES,1
C,MIX,RSA,4266745,4096,MEDIUM,YES,YES,NO,RSA,8,2,,1
D,web,AES,15080467,331,LOW,NO,YES,,RSA,10,3,,1
C,web,RSA,14817383,272,LOW,YES,YES,,RSA,10,3,,12
B,STANDALONE,DES,11263535,3804,MEDIUM,,YES,,RSA,10,3,,12
B,web,RSA,4143331,2825,LOW,YES,YES,NO,RSA,7,3,,11
D,STANDALONE,ECDHE,14802222,1294,LOW,YES,YES,NO,RSA,7,3,,1
D,STANDALONE,ECDHE,6303726,4096,LOW,NO,NO,,RSA,10,2,,1
D,STANDALONE,AES,14280281,1788,HIGH,YES,NO,,RSA,7,1,,2
B,web,AES,5273633,789,LOW,NO,NO,,RSA,7,3,,1
C,MIX,AES,3837909,699,LOW,YES,YES,YES,RSA,10,3,,3
B,STANDALONE,RSA,7740736,815,MEDIUM,,YES,,RSA,10,1,NO,1
B,web,RSA,10250034,0,HIGH,,YES,,RSA,7,3,NO,7
B,STANDALONE,RSA,3207134,4096,HIGH,,NO,,RSA,7,3,,1
C,web,ECDHE,3703166,183,HIGH,,YES,,RSA,10,3,,5
D,MIX,RSA,15902448,3289,LOW,NO,YES,NO,RSA,10,3,NO,3
C,STANDALONE,RSA,16357178,0,LOW,YES,NO,,RSA,10,3,,2
A,MIX,RSA,914290,3907,LOW,YES,YES,,RSA,10,3,NO,10
A,STANDALONE,ECDHE,10740431,409,LOW,NO,YES,,RSA,9,3,,5
A,MIX,ECDHE,7731718,3152,LOW,NO,YES,,RSA,9,3,NO,1
C,MIX,ECDHE,6848616,1334,LOW,YES,YES,,RSA,8,3,,1
A,STANDALONE,ECDHE,4908666,182,LOW,YES,NO,YES,RSA,10,1,,5
B,MIX,ECDHE,14696986,4096,LOW,NO,NO,,RSA,10,3,,6
B,web,ECDHE,12252265,823,MEDIUM,NO,YES,,RSA,10,3,,1
A,MIX,RSA,2578595,4096,LOW,YES,YES,NO,RSA,9,1,NO,3
B,web,RSA,5865349,1544,HIGH,,YES,YES,RSA,10,3,NO,3
C,MIX,DES,3813500,1103,MEDIUM,,YES,NO,RSA,9,3,,4
A,web,RSA,11513042,1802,LOW,,NO,,RSA,8,2,NO,8
A,web,RSA,554610,173,LOW,NO,YES,NO,RSA,10,3,,1
A,web,DES,5841248,1625,HIGH,YES,YES,YES,RSA,10,3,NO,3
C,MIX,ECDHE,11632051,4096,LOW,,NO,YES,RSA,10,2,,1
A,STANDALONE,ECDHE,3798314,1638,HIGH,YES,YES,YES,RSA,7,3,,9
D,MIX,AES,2922504,0,LOW,,YES,,RSA,9,3,,1
B,MIX,ECDHE,6849787,1305,LOW,YES,YES,,RSA,9,3,YES,7
D,web,DES,10490128,4096,MEDIUM,NO,YES,,RSA,9,3,YES,10
C,MIX,ECDHE,2210442,4096,HIGH,,YES,,RSA,10,3,,2
C,web,ECDHE,2862829,724,LOW,YES,NO,,RSA,10,3,YES,9
D,web,AES,16121470,0,HIGH,,YES,NO,RSA,10,2,,1
C,web,RSA,11617865,0,LOW,,NO,,RSA,10,3,NO,3
D,web,RSA,11016473,2060,MEDIUM,NO,YES,,RSA,10,1,NO,12
D,web,AES,1863199,0,MEDIUM,NO,YES,NO,RSA,10,2,,2
D,STANDALONE,AES,12006357,1533,LOW,,NO,NO,RSA,10,3,,1
A,web,ECDHE,12439809,13,HIGH,NO,YES,,RSA,10,3,YES,11
A,MIX,RSA,2487712,4096,LOW,NO,NO,YES,RSA,9,3,,1
A,STANDALONE,ECDHE,14968836,1538,LOW,YES,YES,,RSA,10,3,,8
C,STANDALONE,AES,9546124,175,MEDIUM,,NO,,RSA,10,3,,7
C,STANDALONE,RSA,2683960,1143,LOW,NO,YES,YES,RSA,10,1,YES,12
B,MIX,DES,14362349,728,LOW,,NO,YES,RSA,10,1,NO,12
C,web,RSA,12613436,1722,MEDIUM,YES,YES,,RSA,7,3,YES,5
B,MIX,RSA,15644660,3414,HIGH,NO,NO,NO,RSA,10,3,YES,1
A,MIX,ECDHE,12284130,4096,MEDIUM,,YES,,RSA,7,1,,12
C,MIX,DES,720253,1687,LOW,,NO,,RSA,10,3,,5
D,MIX,AES,3028197,4096,MEDIUM,YES,YES,,RSA,8,3,NO,10
C,web,RSA,9058823,867,LOW,,YES,,RSA,8,3,NO,10
B,web,RSA,13629423,3070,LOW,YES,YES,,RSA,10,2,,2
B,MIX,AES,1395895,94,HIGH,YES,YES,,RSA,10,3,NO,2
D,MIX,RSA,2742327,1261,LOW,,YES,,RSA,10,1,YES,2
B,STANDALONE,RSA,7809820,3191,HIGH,NO,NO,,RSA,10,2,,1
A,web,DES,3321089,0,LOW,NO,NO,,RSA,9,2,NO,1
A,web,ECDHE,5802265,1588,MEDIUM,NO,NO,,RSA,10,1,YES,2
B,web,ECDHE,16572107,0,HIGH,,YES,NO,RSA,10,2,NO,1
B,STANDALONE,RSA,8965495,1472,MEDIUM,NO,YES,YES,RSA,7,2,,1
B,MIX,AES,265856,0,MEDIUM,NO,YES,,RSA,10,3,,8
D,STANDALONE,DES,13452063,964,HIGH,NO,NO,NO,RSA,10,3,YES,1
A,STANDALONE,RSA,3727746,804,HIGH,,YES,,RSA,7,3,,3
C,web,RSA,6608619,554,MEDIUM,,NO,NO,RSA,10,3,NO,8
C,STANDALONE,ECDHE,16083805,3394,HIGH,YES,YES,NO,RSA,10,3,,1
C,web,AES,8522946,947,LOW,YES,YES,YES,RSA,10,3,YES,1
A,STANDALONE,ECDHE,9374875,4096,HIGH,NO,YES,,RSA,10,3,,6
C,STANDALONE,RSA,14629329,0,HIGH,NO,YES,NO,RSA,9,2,NO,2
C,web,AES,16692531,3848,LOW,NO,YES,,RSA,10,1,,1
C,web,RSA,12670242,1759,HIGH,,YES,,RSA,9,2,,10
C,MIX,RSA,6234182,861,HIGH,YES,YES,NO,RSA,8,3,YES,12
C,MIX,ECDHE,6803426,387,LOW,NO,YES,NO,RSA,9,3,,12
B,STANDALONE,ECDHE,15402580,870,LOW,YES,NO,YES,RSA,10,3,,1
C,web,DES,15192150,591,HIGH,,YES,,RSA,10,2,NO,3
C,MIX,RSA,8544623,1602,MEDIUM,,YES,,RSA,10,3,,1
D,STANDALONE,RSA,15704226,1419,HIGH,YES,NO,YES,RSA,10,2,,1
C,MIX,ECDHE,12349013,0,LOW,YES,NO,NO,RSA,10,3,YES,12
A,web,RSA,4419585,0,HIGH,NO,NO,,RSA,10,3,NO,1
B,MIX,RSA,11241706,0,LOW,NO,NO,YES,RSA,10,3,,1
C,STANDALONE,RSA,10749586,3633,MEDIUM,YES,YES,,RSA,10,2,YES,4
C,MIX,AES,6219028,1358,MEDIUM,NO,NO,,RSA,10,2,NO,8
A,STANDALONE,ECDHE,4418914,242,MEDIUM,YES,YES,NO,RSA,8,3,,1
B,MIX,DES,8138946,1962,HIGH,YES,YES,,RSA,10,2,,7
D,web,ECDHE,6106484,1272,MEDIUM,NO,YES,,RSA,10,3,,3
A,MIX,ECDHE,8201112,4096,LOW,NO,YES,NO,RSA,10,3,,8
C,web,DES,13684324,885,HIGH,,NO,,RSA,7,3,,8
C,web,RSA,12213966,0,LOW,YES,YES,,RSA,8,3,,11
D,web,RSA,9363148,235,MEDIUM,YES,NO,YES,RSA,10,2,NO,3
B,STANDALONE,RSA,104072,2063,MEDIUM,,NO,,RSA,7,3,,1
C,MIX,AES,6189216,12,MEDIUM,YES,NO,,RSA,10,3,,1
B,STANDALONE,DES,3005518,1061,MEDIUM,,NO,,RSA,10,3,NO,1
C,STANDALONE,DES,6732666,0,LOW,NO,YES,NO,RSA,9,3,,8
B,web,RSA,14310149,1598,HIGH,NO,YES,NO,RSA,8,3,,1
C,MIX,ECDHE,3595142,735,MEDIUM,NO,YES,NO,RSA,10,3,NO,1
B,STANDALONE,AES,7244097,1193,HIGH,,YES,YES,RSA,10,3,,7
B,web,RSA,1766505,4096,LOW,NO,NO,,RSA,9,3,NO,12
C,web,RSA,3583992,0,HIGH,YES,NO,,RSA,10,3,,1
B,web,RSA,14426239,4096,HIGH,,YES,,RSA,9,3,,1
B,web,RSA,3457758,89,LOW,NO,NO,YES,RSA,10,3,,1
A,web,DES,15448787,872,HIGH,,YES,,RSA,7,1,,4
A,MIX,ECDHE,14176548,0,MEDIUM,,NO,,RSA,10,3,,9
B,MIX,RSA,3775552,0,LOW,,YES,,RSA,10,1,NO,3
D,STANDALONE,RSA,10369171,0,HIGH,NO,NO,,RSA,10,2,NO,1
D,web,AES,6472354,0,MEDIUM,NO,YES,NO,RSA,7,1,NO,1
C,STANDALONE,ECDHE,4478572,0,HIGH,NO,YES,,RSA,10,3,NO,12
D,STANDALONE,RSA,774105,406,HIGH,YES,YES,,RSA,10,1,YES,1
D,web,AES,1273818,1364,LOW,NO,NO,,RSA,8,3,NO,2
B,web,DES,12248523,0,MEDIUM,NO,YES,,RSA,10,3,,2
D,STANDALONE,RSA,3641596,1346,MEDIUM,YES,YES,,RSA,9,2,NO,1
C,STANDALONE,ECDHE,11507645,375,LOW,YES,YES,,RSA,10,3,NO,10
A,MIX,RSA,7165391,2175,LOW,,NO,,RSA,8,3,NO,3
C,MIX,RSA,4442669,862,MEDIUM,NO,YES,,RSA,10,3,,12
C,STANDALONE,ECDHE,9948761,1478,LOW,,NO,,RSA,9,3,NO,1
B,MIX,AES,8773380,3053,MEDIUM,,NO,NO,RSA,10,3,,5
A,MIX,AES,5785691,765,LOW,YES,NO,NO,RSA,10,3,NO,6
B,MIX,RSA,6634897,0,LOW,NO,YES,,RSA,10,3,,1
C,MIX,ECDHE,1151758,1139,LOW,YES,NO,,RSA,9,3,YES,10
B,STANDALONE,RSA,4365134,1437,MEDIUM,,YES,YES,RSA,10,3,,5
C,STANDALONE,DES,13967894,3376,LOW,YES,NO,,RSA,10,3,,1
B,STANDALONE,AES,2726725,1232,HIGH,NO,YES,NO,RSA,10,3,NO,12
B,web,RSA,12961482,3064,MEDIUM,,NO,NO,RSA,10,2,NO,1
C,web,RSA,14828560,2368,HIGH,,YES,,RSA,8,2,NO,4
B,MIX,ECDHE,16461525,1138,MEDIUM,,YES,,RSA,10,3,,1
C,web,RSA,11551635,1861,MEDIUM,NO,YES,,RSA,8,3,NO,10
B,web,RSA,15715074,2621,LOW,YES,YES,,RSA,10,3,,2
B,web,ECDHE,7681487,4096,LOW,NO,NO,,RSA,8,3,NO,4
D,STANDALONE,DES,302823,214,MEDIUM,NO,YES,,RSA,9,3,,3
B,web,DES,11000031,0,MEDIUM,NO,NO,,RSA,9,2,YES,11
D,MIX,ECDHE,2288103,1497,LOW,,YES,,RSA,10,3,,3
C,MIX,RSA,2573634,1084,MEDIUM,,YES,,RSA,10,3,NO,5
B,web,RSA,4029879,4096,HIGH,YES,NO,NO,RSA,10,3,YES,4
A,MIX,RSA,15850705,1128,LOW,YES,YES,YES,RSA,10,2,,4
A,MIX,RSA,15954591,0,HIGH,,YES,NO,RSA,10,3,YES,12
C,web,AES,13259523,430,HIGH,NO,NO,NO,RSA,7,3,,6
C,MIX,ECDHE,9081577,1374,LOW,,YES,YES,RSA,10,3,,1
D,web,AES,12293633,1387,LOW,YES,YES,,RSA,10,3,NO,6
D,web,AES,4708216,3246,HIGH,YES,YES,,RSA,10,3,,6
D,web,RSA,14741284,4096,HIGH,,YES,,RSA,8,2,,1
D,web,RSA,14201606,1856,HIGH,YES,YES,,RSA,10,1,,1
B,MIX,ECDHE,16001728,1583,HIGH,NO,YES,,RSA,10,1,YES,1
A,STANDALONE,RSA,8646584,0,MEDIUM,NO,YES,NO,RSA,10,3,NO,7
A,web,ECDHE,11715622,1416,HIGH,YES,YES,YES,RSA,9,2,NO,4
B,STANDALONE,ECDHE,8228829,162,LOW,YES,YES,YES,RSA,10,1,,1
C,web,RSA,16598123,3737,HIGH,,YES,,RSA,7,3,YES,7
D,STANDALONE,DES,13138372,287,HIGH,YES,YES,,RSA,8,2,NO,4
B,web,ECDHE,3070688,853,LOW,NO,YES,,RSA,8,3,,1
B,MIX,ECDHE,12255712,240,LOW,NO,NO,,RSA,8,3,NO,12
C,MIX,RSA,2055826,2365,MEDIUM,,YES,YES,RSA,10,2,NO,4
D,MIX,ECDHE,12151731,3484,HIGH,NO,NO,,RSA,10,3,,10
C,web,RSA,8685067,1403,MEDIUM,NO,NO,NO,RSA,9,2,,7
C,web,ECDHE,13945376,36,HIGH,,NO,,RSA,10,3,,9
A,STANDALONE,ECDHE,919760,0,HIGH,NO,YES,,RSA,10,2,,6
B,web,ECDHE,11447135,4096,LOW,NO,NO,,RSA,10,2,NO,5
D,web,RSA,15421692,480,HIGH,YES,YES,YES,RSA,10,2,,8
C,MIX,RSA,15914015,1218,LOW,NO,YES,,RSA,9,1,,1
C,STANDALONE,ECDHE,9099100,0,LOW,NO,YES,YES,RSA,10,3,NO,1
C,web,ECDHE,11105370,1003,MEDIUM,,NO,NO,RSA,9,1,YES,12
A,web,RSA,58991,752,HIGH,YES,NO,YES,RSA,10,3,NO,1
D,STANDALONE,ECDHE,12079954,1163,LOW,NO,YES,,RSA,10,3,NO,1
D,MIX,RSA,9299231,3629,MEDIUM,YES,YES,,RSA,10,1,YES,7
B,web,RSA,9448578,4096,HIGH,YES,NO,NO,RSA,10,3,,6
A,web,ECDHE,6358517,0,MEDIUM,,NO,YES,RSA,9,3,NO,11
B,web,ECDHE,1556323,3585,MEDIUM,YES,NO,,RSA,10,2,,1
C,STANDALONE,RSA,11658176,4096,LOW,YES,YES,NO,RSA,10,2,YES,7
B,STANDALONE,ECDHE,12409099,1571,MEDIUM,NO,NO,,RSA,7,3,,11
B,MIX,ECDHE,643500,3507,LOW,NO,NO,,RSA,10,3,,5
B,MIX,ECDHE,311988,317,MEDIUM,YES,YES,YES,RSA,7,3,,4
B,web,ECDHE,288336,4096,LOW,,YES,,RSA,10,1,,4
A,STANDALONE,ECDHE,1219835,3313,MEDIUM,,NO,YES,RSA,8,3,,8
A,MIX,ECDHE,11603648,685,HIGH,YES,NO,,RSA,9,1,,4
A,web,RSA,7421426,1455,HIGH,,NO,,RSA,9,3,,1
C,STANDALONE,ECDHE,8989540,4096,LOW,,NO,,RSA,10,1,NO,4
C,MIX,ECDHE,4006881,2103,MEDIUM,,NO,,RSA,7,3,,1
C,MIX,ECDHE,14121440,597,MEDIUM,NO,NO,NO,RSA,8,3,NO,1
C,MIX,ECDHE,5034266,515,LOW,,YES,NO,RSA,8,3,,1
D,MIX,ECDHE,414153,1212,MEDIUM,,YES,YES,RSA,10,2,,12
B,web,RSA,10835614,499,LOW,,YES,,RSA,10,3,NO,6
A,web,RSA,16577305,1488,MEDIUM,YES,NO,,RSA,8,1,YES,1
C,web,DES,6863548,0,HIGH,NO,YES,NO,RSA,9,3,YES,4
D,web,RSA,7399595,197,HIGH,NO,YES,,RSA,9,2,NO,1
A,web,RSA,11874320,2124,HIGH,YES,YES,NO,RSA,10,3,,1
D,MIX,RSA,9459069,1071,HIGH,YES,YES,,RSA,10,3,,1
C,MIX,ECDHE,1556417,847,HIGH,NO,YES,,RSA,10,3,NO,3
D,web,AES,7933772,1612,MEDIUM,NO,YES,,RSA,9,3,,10
D,MIX,RSA,4732121,0,HIGH,YES,YES,,RSA,10,3,NO,11
D,STANDALONE,ECDHE,16208730,2499,MEDIUM,YES,NO,,RSA,7,3,,10
A,MIX,AES,10200379,671,MEDIUM,NO,YES,YES,RSA,9,2,NO,2
C,STANDALONE,ECDHE,12045217,907,LOW,NO,YES,,RSA,10,2,,5
B,MIX,ECDHE,11363570,4096,LOW,YES,YES,NO,RSA,8,3,NO,5
A,MIX,ECDHE,11859124,4096,LOW,YES,YES,NO,RSA,10,2,,1
C,STANDALONE,RSA,9780381,637,HIGH,,NO,,RSA,9,3,YES,7
C,web,ECDHE,5461235,4096,MEDIUM,NO,NO,,RSA,9,3,,7
B,web,RSA,11205194,1828,LOW,,YES,,RSA,10,1,,2
D,web,RSA,12357239,1854,LOW,NO,YES,YES,RSA,10,1,,1
C,STANDALONE,AES,12184353,2803,MEDIUM,,YES,NO,RSA,10,2,YES,3
C,STANDALONE,RSA,5087512,974,LOW,YES,NO,,RSA,10,3,,4
C,STANDALONE,ECDHE,7692014,377,LOW,,YES,NO,RSA,10,3,NO,6
B,web,RSA,4649173,1318,HIGH,NO,YES,,RSA,9,3,NO,2
D,MIX,ECDHE,3824636,197,HIGH,,YES,NO,RSA,10,3,,7
D,STANDALONE,AES,3663272,3140,LOW,,YES,,RSA,9,3,NO,1
C,MIX,ECDHE,8728198,0,LOW,YES,YES,,RSA,9,3,NO,4
B,STANDALONE,DES,8202739,0,LOW,,YES,,RSA,8,3,NO,1
D,web,AES,7179638,3697,MEDIUM,YES,YES,NO,RSA,10,3,NO,4
C,web,ECDHE,4579510,938,MEDIUM,YES,YES,,RSA,10,2,YES,1
B,MIX,ECDHE,10907918,0,LOW,,YES,,RSA,9,3,,3
B,MIX,ECDHE,2012967,2855,HIGH,,NO,,RSA,10,2,,1
B,web,DES,16189462,1085,MEDIUM,NO,NO,,RSA,9,2,,1
D,STANDALONE,AES,15127183,1042,LOW,,NO,,RSA,10,1,YES,5
C,STANDALONE,DES,4561374,2259,HIGH,,YES,YES,RSA,7,2,,10
D,web,ECDHE,5750272,1650,LOW,,YES,,RSA,9,3,,1
C,STANDALONE,RSA,14225818,1157,MEDIUM,,NO,YES,RSA,9,3,,1
D,MIX,RSA,3149671,4096,MEDIUM,YES,YES,,RSA,9,1,,1
B,STANDALONE,RSA,5121509,4096,LOW,,YES,,RSA,7,2,NO,1
C,STANDALONE,RSA,1586741,1969,MEDIUM,YES,YES,,RSA,8,1,,2
A,MIX,AES,11786393,404,MEDIUM,YES,NO,NO,RSA,9,3,NO,12
C,MIX,ECDHE,3965764,2129,HIGH,NO,YES,,RSA,10,3,,8
B,web,ECDHE,11863575,1055,MEDIUM,NO,NO,NO,RSA,10,3,,5
A,MIX,RSA,8123857,2066,MEDIUM,YES,YES,,RSA,10,3,,1
C,web,RSA,860426,525,HIGH,NO,NO,NO,RSA,10,2,NO,12
C,STANDALONE,DES,15942999,1448,HIGH,NO,NO,,RSA,10,3,,4
A,STANDALONE,RSA,9087494,757,HIGH,,YES,,RSA,10,1,,1
A,MIX,RSA,9371944,4096,HIGH,,YES,,RSA,10,2,NO,1
B,MIX,ECDHE,4318136,4096,HIGH,,YES,,RSA,8,1,,1
C,web,AES,9688926,4096,LOW,NO,YES,,RSA,10,3,YES,4
C,MIX,AES,16064357,1393,HIGH,NO,YES,YES,RSA,8,3,,8
B,MIX,AES,10027437,305,LOW,,YES,,RSA,10,3,,11
C,MIX,RSA,10534540,1329,LOW,NO,YES,,RSA,9,3,NO,5
A,STANDALONE,RSA,3077928,1208,MEDIUM,YES,NO,NO,RSA,10,3,NO,5
D,STANDALONE,RSA,3130683,535,LOW,NO,YES,NO,RSA,10,3,,9
C,web,ECDHE,43428,0,LOW,YES,YES,,RSA,10,3,,1
D,MIX,DES,1754630,0,LOW,YES,NO,,RSA,10,3,YES,6
A,STANDALONE,ECDHE,9885003,0,HIGH,,YES,YES,RSA,9,2,,12
A,MIX,ECDHE,4253172,2285,LOW,YES,YES,,RSA,7,3,,1
C,MIX,RSA,7933911,543,MEDIUM,NO,NO,,RSA,10,3,NO,8
D,MIX,ECDHE,5614796,460,LOW,,YES,YES,RSA,8,3,,1
B,STANDALONE,RSA,16488136,181,LOW,YES,NO,,RSA,9,3,NO,8
B,web,ECDHE,15948835,826,HIGH,NO,YES,,RSA,10,3,NO,6
C,MIX,ECDHE,14337775,4096,HIGH,YES,YES,YES,RSA,10,3,NO,2
C,web,RSA,6082004,64,MEDIUM,,NO,NO,RSA,10,3,,1
B,MIX,RSA,16455977,1284,HIGH,,YES,,RSA,10,3,,3
B,MIX,RSA,14128776,2155,LOW,YES,NO,NO,RSA,8,3,NO,7
C,web,RSA,7290810,543,MEDIUM,YES,NO,YES,RSA,10,3,NO,12
D,web,ECDHE,12164806,4096,HIGH,,YES,,RSA,10,2,YES,8
D,STANDALONE,ECDHE,14097626,1152,LOW,NO,YES,,RSA,10,3,YES,7
B,web,RSA,2105041,1426,HIGH,NO,YES,,RSA,10,2,,5
C,web,ECDHE,15843173,2669,LOW,,NO,NO,RSA,10,3,NO,12
B,MIX,AES,15142990,549,MEDIUM,,YES,,RSA,9,3,,7
A,MIX,DES,7074086,4096,LOW,,NO,,RSA,7,3,,6
B,MIX,ECDHE,3754488,0,LOW,,YES,NO,RSA,10,3,NO,9
D,STANDALONE,ECDHE,5789057,964,HIGH,YES,NO,,RSA,8,3,NO,2
C,web,RSA,10041792,1748,HIGH,YES,YES,,RSA,9,3,NO,5
A,STANDALONE,ECDHE,934422,3987,HIGH,YES,NO,YES,RSA,8,3,,1
D,STANDALONE,RSA,15462389,635,HIGH,YES,YES,,RSA,9,3,,12
B,STANDALONE,AES,3532111,203,HIGH,YES,NO,,RSA,10,3,,1
C,STANDALONE,RSA,3112106,106,LOW,,YES,YES,RSA,9,3,,12
C,MIX,RSA,11269330,0,HIGH,,YES,YES,RSA,10,3,NO,7
B,STANDALONE,AES,13117754,2059,MEDIUM,,YES,,RSA,8,1,NO,6
D,MIX,RSA,11770249,853,HIGH,NO,YES,,RSA,10,1,,1
B,MIX,RSA,10701805,281,LOW,,YES,,RSA,8,3,NO,1
A,MIX,RSA,5822228,1481,MEDIUM,YES,NO,,RSA,10,1,YES,6
A,STANDALONE,DES,3987793,2023,HIGH,YES,YES,NO,RSA,9,3,,1
B,STANDALONE,RSA,3913760,0,LOW,YES,YES,NO,RSA,10,3,,2
A,STANDALONE,ECDHE,1020254,2332,LOW,,YES,NO,RSA,7,3,,1
B,MIX,ECDHE,7164088,0,LOW,,YES,YES,RSA,9,3,,5
C,MIX,DES,7806866,2540,MEDIUM,,YES,NO,RSA,8,3,YES,6
A,STANDALONE,AES,485368,1572,MEDIUM,YES,YES,,RSA,9,3,YES,1
D,STANDALONE,ECDHE,14941453,665,MEDIUM,NO,YES,,RSA,10,3,,12
A,web,ECDHE,9804004,1262,LOW,YES,NO,,RSA,9,2,,12
C,web,ECDHE,5297770,365,HIGH,,YES,,RSA,10,3,,3
C,web,ECDHE,4226649,1865,HIGH,,YES,,RSA,10,1,,1
B,web,DES,4167636,2365,LOW,,YES,,RSA,9,3,,6
C,web,DES,15881830,987,MEDIUM,YES,YES,NO,RSA,10,3,NO,5
B,MIX,RSA,6815527,2207,LOW,,YES,,RSA,10,3,NO,7
B,MIX,DES,15011762,1279,MEDIUM,NO,YES,,RSA,10,3,,7
A,web,ECDHE,13706390,0,HIGH,NO,YES,,RSA,10,3,YES,1
B,STANDALONE,AES,7049359,979,LOW,YES,YES,,RSA,8,2,,1
A,web,ECDHE,12577754,4096,HIGH,NO,YES,,RSA,7,1,,1
B,web,ECDHE,10894802,0,LOW,YES,YES,,RSA,8,3,,1
C,web,ECDHE,4686234,0,MEDIUM,NO,YES,,RSA,9,3,,1
C,STANDALONE,RSA,7070319,3057,LOW,NO,NO,,RSA,10,3,NO,9
C,MIX,RSA,7899945,2804,HIGH,NO,NO,,RSA,9,1,,1
B,web,RSA,8565150,3065,LOW,NO,YES,,RSA,9,3,YES,8
B,web,RSA,2665155,1950,HIGH,,YES,NO,RSA,8,3,NO,5
B,web,AES,10593174,0,LOW,NO,YES,,RSA,10,1,,1
B,STANDALONE,RSA,15017238,541,MEDIUM,,YES,NO,RSA,10,2,,1
A,STANDALONE,ECDHE,15750270,0,HIGH,YES,YES,,RSA,10,3,,1
C,web,DES,15094360,3089,LOW,YES,NO,,RSA,10,3,NO,1
B,web,ECDHE,3932583,1342,LOW,,YES,NO,RSA,7,1,NO,4
B,web,ECDHE,4666167,0,HIGH,NO,YES,,RSA,10,3,,12
D,STANDALONE,DES,16613103,839,HIGH,NO,YES,,RSA,10,1,NO,5
A,MIX,AES,978747,782,MEDIUM,YES,NO,,RSA,7,3,NO,12
A,STANDALONE,AES,13003717,116,MEDIUM,YES,NO,,RSA,10,3,YES,1
A,web,AES,15845994,1051,HIGH,YES,YES,NO,RSA,9,3,NO,2
D,MIX,RSA,3734590,148,MEDIUM,YES,YES,,RSA,10,2,,1
C,STANDALONE,ECDHE,15237421,843,HIGH,,YES,NO,RSA,10,3,NO,3
B,web,ECDHE,10429988,1466,HIGH,NO,NO,NO,RSA,10,2,,8
B,web,ECDHE,1877788,4096,MEDIUM,NO,NO,,RSA,9,2,NO,9
A,MIX,RSA,2056805,1347,HIGH,NO,NO,,RSA,9,3,,1
B,web,ECDHE,14480420,4096,HIGH,NO,NO,,RSA,8,1,,1
C,STANDALONE,RSA,4845969,1898,LOW,YES,YES,,RSA,10,2,NO,1
B,MIX,AES,5122435,330,LOW,NO,NO,NO,RSA,7,3,NO,1
B,MIX,ECDHE,11418843,4096,LOW,,YES,,RSA,7,3,,3
